회사명,corp_eng_name,종목코드,is_defaulted
케이씨에스,Korea Computer & Systems Inc.,115500,0
케이씨씨글라스,KCC GLASS Corporation,344820,0
케이씨씨,KCC Corporation,002380,0
케이씨더블류,Kyung Chang Wiper Corporation,068060,0
케이씨,"KC CO., LTD.",029460,0
케이쓰리아이,"K3I. Co., Ltd.",431190,0
케이사인,"KSIGN CO., Ltd.",192250,0
케이비캐피탈,"KB CAPITAL CO,. LTD",021960,0
케이비증권,"KB SECURITIES CO.,LTD",003450,0
케이비제9호기업인수목적,KB No.9 Special Purpose Acquisition Company,232270,0
케이비제8호기업인수목적,KB No.8 Special Purpose Acquistion Company,222390,0
케이비제26호기업인수목적,KB No.26 Special Purpose Acquisition Company,458320,0
케이비제23호기업인수목적,KB No.23 Special Purpose Acquisition Company,440200,0
케이비제22호기업인수목적,KB No.22 Special Purpose Acquisition Company,436530,0
케이비제21호기업인수목적,"KB No.21 Special Purpose Acquisition Company Co., Ltd.",424140,0
케이비제20호기업인수목적,KB No.20 Special Purpose Acquisition Company,342550,0
케이비제19호기업인수목적,"KB No.19 Special Purpose Acquisition Company Co., Ltd.",330990,0
케이비제18호기업인수목적,KB No.18 Special Purpose Acquisition Company,323940,0
케이비제17호기업인수목적,KB No.17 Special Purpose Acquisition Company,317030,0
케이비아이동국실업,"KBI DONGKOOK IND CO., LTD",001620,0
케이비부국제1호개발전문위탁관리부동산투자회사,"KB-Bookook No.1 Development Cc., Ltd.",149130,0
케이비물산,KOREA BEST PRODUCE CORP,008540,0
케이비드림투게더제3호기업인수목적,"KB Dream Together 3rd Special Purpose Acquisition Co., LTD.",221950,0
케이바이오,KBIO COMPANY Inc.,038530,0
케이맥,Korea Materials & Analysis Corp.,043290,0
케이만금세기차륜집단유한공사,Cayman Golden Century Wheel Group Limited,900280,0
케이디켐,"KDCHEM CO., LTD.",221980,0
케이디지엠텍,"alti-electronics co., ltd.",032290,0
케이디세코,"K-D'seco Co., Ltd.",073780,0
케어젠,"CAREGEN CO.,LTD.",214370,0
케어룸의료산업,"KAREROOM MEDICAL EQUIPMENT CO.,LTD.",327970,0
케어랩스,"Carelabs Co.,Ltd",263700,0
케스피온,"KESPION Co., Ltd.",079190,0
케미메디,KEMIMEDI Co.Ltd,205290,0
케드콤,"KEDCOM CO.,LTD",011050,0
케너텍,"KENERTEC CO., LTD.",062730,0
컴퍼니케이,COMPANY K PARTNERS LIMITED,307930,0
컴투스홀딩스,Com2uS Holdings Corporation,063080,0
컴투스,Com2uSCorporation,078340,0
컬러레이,"Coloray International Investment Co., Limited",900310,0
컨텍,"CONTEC Co.,Ltd",451760,0
커넥트웨이브,"Connectwave Co., Ltd.",119860,0
캡스톤파트너스,"Capstone Partners Co., Ltd.",452300,0
캠시스,CammSys Corp.,050110,0
캠브리지코오롱,"CAMBRIDGE KOLON CO.,LTD",004620,0
캔버스엔,"CANVAS N Co.,Ltd.",210120,0
캐스텍코리아,"CASTEC KOREA CO.,LTD",071850,0
캐리소프트,"CARRIESOFT Co., Ltd.",317530,0
캐리,"CARRY CO., LTD.",313760,0
캐로스,"CAROS CO., LTD.",260490,0
카프로,CAPRO CORPORATION,006380,0
카페24,Cafe24 Corp.,042000,0
카티스,CATIS INC.,140430,0
카카오페이,kakaopay Corp.,377300,0
카카오엠,Kakao M Corp.,016170,0
카카오뱅크,KakaoBank Corp.,323410,0
카카오게임즈,Kakao Games Corp.,293490,0
카카오,Kakao Corp.,035720,0
카이바이오텍,"KaiBioTech Co., Ltd",446600,0
카이노스메드,"KAINOS MEDICINE, INC.",284620,0
카이노스메드,"KAINOS MEDICINE, INC.",220250,0
카스코,"KOREA AUTOMOTIVE SYSTEMS CO.,LTD",005330,0
카스,Cas,016920,0
카라반케이디이,"CARAVAN KDE CO., LTD.",032570,0
칩스앤미디어,"Chips&Media, Inc.",094360,0
초록뱀미디어,"CHOROKBAEM MEDIA CO.,LTD.",047820,0
체시스,"CHASYS Co.,Ltd",033250,0
체리부로,"Cherrybro Co.,Ltd",066360,0
청호ICT,"CHUNGHO ICT CO.,LTD.",012600,0
청람디지탈,"CHUNG LAM DIGITAL CO.,LTD",035270,0
청담글로벌,"CHUNGDAMGLOBAL Co., Ltd.",362320,0
청광건설,"CHUNGKWANG CONSTRUCTION CO., LtD.",140290,0
천지산업,CHONJI CORPORATION,001490,0
천일고속,"CHUNIL EXPRESS CO.,LTD",000650,0
천보,"Chunbo Co., Ltd.",278280,0
창해에탄올,"Changhae Ethanol Co., Ltd.",004650,0
창민테크,"CHANG MIN TECH CO., LTD",042960,0
창대정밀,CHANGDAE Precision,368030,0
참좋은여행,"Very Good Tour Co.,Ltd.",094850,0
참존글로벌,"Charmzone Global Co., Ltd.",158310,0
참엔지니어링,"Charm Engineering Co.,Ltd.",009310,0
차이커뮤니케이션,"Chai Communication Co., LTD.",351870,0
차이나하오란리사이클링유한공사,"China Hao Ran Recycling Co., Ltd.",900090,0
차이나그레이트스타인터내셔널리미티드,CHINA GREAT STAR INTERNATIONAL LIMITED,900040,0
차백신연구소,CHA Vaccine Research Institute,261780,0
차바이오텍,"Chabiotech Co.,Ltd.",085660,0
질경이,"JILGYUNGYI CO.,LTD.",233990,0
진흥저축은행,JINHEUNG SAVINGS BANK,007200,0
진흥기업,CHINHUNG INTERNATIONAL INC,002780,0
진코스텍,"JINCOSTECH CO.,LTD.",250030,0
진원생명과학,"GeneOne Life Science, Inc.",011000,0
진영,"JINYOUNG CO., LTD",285800,0
진에어,"JIN AIR CO,.LTD.",272450,0
진양화학,CHINYANG CHEMICAL CORPORATION,051630,0
진양홀딩스,CHINYANG HOLDINGS CORPORATION,100250,0
진양폴리우레탄,"CHINYANG POLY URETHANE CO.,LTD",010640,0
진양제약,"JIN YANG PHARMACEUTICAL. CO., LTD",007370,0
진양산업,"CHIN YANG INDUSTRY CO.,LTD.",003780,0
진시스템,"Genesystem Co., Ltd",363250,0
진성티이씨,JINSUNG T.E.C,036890,0
진바이오텍,"GeneBioTechCo.,Ltd.",086060,0
진매트릭스,GENEMATRIX INC.,109820,0
진로발효,JinroDistillers,018120,0
진도,"JINDO.CO.,LTD",088790,0
지티앤티,"GT&T CO., LTD.",053870,0
지투파워,G2Power Co. Ltd,388050,0
지케이파워,"GKPOWER CO., LTD",054020,0
지유온,"G.U.ON Co., Ltd.",111820,0
지오엠씨,"GEOMC CO., LTD.",033030,0
지오엘리먼트,"GO Element Co., Ltd.",311320,0
지역난방공사,KOREA DISTRICT HEATING CORPORATION,071320,0
지엠비코리아,GMB Korea Corp.,013870,0
지엘팜텍,GL Pharm Tech Corp.,204840,0
지엔텍홀딩스,"GENTECH HOLDINGS Co., Ltd.",065410,0
지엔코,"Great New wave Coming Co., Ltd.",065060,0
지엔씨에너지,"GnCenergy Co., Ltd.",119850,0
지에프씨생명과학,"GFC Life Science Co., Ltd.",388610,0
지에이이노더스,"GA INNODUS CO., LTD.",076340,0
지에스홈쇼핑,GS Home Shopping Inc.,028150,0
지에스이,"GSE Co., Ltd.",053050,0
지에스엔텍,GS ENTEC Corp.,037640,0
지어소프트,GAEASOFT ,051160,0
지앤이헬스케어,"G&E Healthcare Co., Ltd.",299480,0
지앤엘,"GOLDEN & LUXURY Co., Ltd",014590,0
지앤에스티,"G&ST CO.,LTD",036920,0
지앤알,G&R Inc.,043630,0
지앤비에스 에코,"GnBS eco Co.,Ltd",382800,0
지앤디윈텍,"GND WINTECH CO.,LTD.",061050,0
지아이텍,"G.I.Tech Co.,Ltd.",382480,0
지아이이노베이션,GI Innovation Inc.,358570,0
지아이바이오,"GIBIO Co., Ltd.",035450,0
지씨셀,GC CELL CORPORATION,144510,0
지슨,"GITSN, Inc.",289860,0
지스마트글로벌,"G-SMATT GLOBAL Co., Ltd.",114570,0
지성이씨에스,"ZISUNG ECS CO.,Ltd.",138290,0
지비에스,"GBS Co., Ltd.",076170,0
지란지교시큐리티,"Jiransecurity Co., Ltd.",208350,0
지디코프,GDCorp Inc.,036610,0
지디,"Global Display Co., Ltd.",155960,0
지더블유바이텍,"GW Vitek CO.,LTD.",036180,0
지니틱스,"Zinitix Co.,Ltd.",303030,0
지니웍스,"GenieWorks Co.,Ltd.",036600,0
지니언스,"GENIANS, INC.",263860,0
지니너스,GENINUS Inc.,389030,0
지누스,ZINUS INC.,013890,0
지놈앤컴퍼니,Genome&Company,314130,0
지노시스템,"G-Inno Systems CO., LTD.",033850,0
지노믹트리,Genomictree Inc.,228760,0
지나인제약,"G9pharma co., LTD",078650,0
중앙첨단소재,"JOONGANG ADVANCED MATERIALS Co., Ltd",051980,0
중앙제지,"CHOONGANG PAPER MFG CO.,LTD",005600,0
중앙에너비스,"Joong Ang Enervis Co.,Ltd.",000440,0
중앙백신,CHOONG ANG VACCINE LABORATORY,072020,0
중앙바이오텍,"CHOONG ANG BIOTECH CO.,LTD",015170,0
중앙디자인,"Joong Ang Design Co., Ltd",030030,0
중앙건설,"JOONGANG CONSTRUCTION CO., LTD.",015110,0
중국원양자원유한공사,"CHINA OCEAN RESOURCES CO.,LTD.",900050,0
중국식품포장유한공사,"CHINA FOOD PACKAGING INC.,LTD",900060,0
중국고섬공고유한공사,China Gaoxian Fibre Fabric Holdings Ltd.,950070,0
줌인터넷,ZUM internet Corp.,229480,0
주연테크,"JOOYONTECH CO.,LTD.",044380,0
주성코퍼레이션,JOOSUNG CORPORATION,109070,0
주성엔지니어링,"JUSUNG ENGINEERING Co.,Ltd.",036930,0
주노콜렉션,"JUNO COLLECTION CO.,LTD",221670,0
좋은사람들,"GOOD PEOPLE CO., LTD.",033340,0
종근당홀딩스,CHONGKUNDANG HOLDINGS CORP.,001630,0
종근당바이오,CKD Bio Corp.,063160,0
종근당,Chong Kun Dang Pharmaceutical Corp.,185750,0
조흥,CHOHEUNG CORPORATION,002600,0
조일알미늄,"CHOIL ALUMINUM CO., LTD",018470,0
조인에너지,"JOIN ENERGY Co.,Ltd",004820,0
조이토토,"Joytoto Co., Ltd",044370,0
조이시티,JoyCity Corporation,067000,0
조은저축은행,CHOEUN SAVINGS BANK,031920,0
조아제약,"ChoA Pharmaceutical Co., LTD.",034940,0
조선선재,"CHOSUN WELDING POHANG Co., Ltd",120030,0
조선내화,"Chosun Refractories Co., Ltd.",462520,0
조비,"CHOBI CO.,LTD",001550,0
조광피혁,"CHOKWANG LEATHER CO.,LTD",004700,0
조광페인트,"CHOKWANG PAINT CO.,LTD",004910,0
조광ILI,"JOKWANG I.L.I CO., LTD",044060,0
젬백스,"GemVax & KAEL Co.,Ltd.",082270,0
젬,ZAMLED,248020,0
젠큐릭스,Gencurix Inc.,229000,0
젝시믹스,XEXYMIX Corporation,337930,0
제테마,"JETEMA Co.,Ltd.",216080,0
제주항공,"JEJUAIR, CO., LTD.",089590,0
제주은행,Jeju Bank,006220,0
제주반도체,Jeju Semiconductor Corp.,080220,0
제일화재해상보험,"FIRST FIRE & MARINE INSURANCE CO.,LTD",000610,0
제일파마홀딩스,JEIL PHARMA HOLDINGS INC.,002620,0
제일테크노스,"JEIL TECHNOS CO.,LTD",038010,0
제일창업투자,Korea First Venture Capital Corporation,026540,0
제일저축은행,Jeil Savings Bank,024100,0
제일일렉트릭,"CHEIL ELECTRIC CO.,LTD.",199820,0
제일연마,"CHEIL GRINDING WHEEL IND CO.,LTD",001560,0
제일엠앤에스,"JEIL M&S CO., LTD",412540,0
제일약품,"JEIL PHARMACEUTICAL CO.,LTD",271980,0
제일바이오,"CHEIL BIO CO., LTD.",052670,0
제일모직,CHEIL INDUSTRIES INC,001300,0
제일기획,Cheil Worldwide Inc,030000,0
제이티,JT Corporation.,089790,0
제이투케이바이오,"J2KBIO Co., Ltd.",420570,0
제이콤,"Jcommunications Co., Ltd.",060750,0
제이준코스메틱,"Jayjun Cosmetic Co., Ltd.",025620,0
제이웨이,"J way Co.,Ltd.",058420,0
제이오,"JEIO. Co., Ltd.",418550,0
제이엠피,JMP Ltd.,054790,0
제이엠티,"JMT CO.,Ltd.",094970,0
제이엠아이,"JEONGMOON INFORMATION CO.,LTD.",033050,0
제이엠멀티,JM-MULTI,254160,0
제이엘케이,"JLK, Inc.",322510,0
제이엔케이글로벌,"JNK Global Co., Ltd.",126880,0
제이엔비,"JNB Co.,Ltd",452160,0
제이에스피브이,"JSPV Co.,Ltd.",250300,0
제이에스티나,"J.ESTINA Co.,Ltd",026040,0
제이에스코퍼레이션,JS Corporation,194370,0
제이에스전선,"JS Cable Co., LTD",005560,0
제이에스링크,"JS Link, Inc.",127120,0
제이에스,JS Company Limited,037110,0
제이앤티씨,"JNTC CO.,LTD.",204270,0
제이앤케이인더스트리,"AIBIT Co., Ltd.",039230,0
제이앤유글로벌,JNU GLOBAL INCORPORATION.,086200,0
제이알글로벌리츠,JR GLOBAL REIT,348950,0
제이아이테크,"JI-TECH Co., Ltd.",417500,0
제이씨현시스템,"JCH Systems, Inc.",033320,0
제이씨케미칼,"JC Chemical Corporation, LTD.",137950,0
제이시스메디칼,Jeisys Medical Inc.,287410,0
제이스텍,"JASTECH, Ltd.",090470,0
제이스코홀딩스,J Steel Company Holdings Inc.  ,023440,0
제이브이엠,"JVMCO.,LTD",054950,0
제우스,"ZEUSCO.,LTD.",079370,0
제룡전기,"CHERYONG ELECTRIC CO.,LTD.",033100,0
제룡산업,"CHERYONG INDUSTRIAL CO.,LTD.",147830,0
제로투세븐,Zero to Seven Inc,159580,0
제로원인터랙티브,"ZeroOne Interactive Co.,Ltd",069470,0
제닉스,"ZENIX Co., Ltd.",381620,0
제닉,"Genic Co.,Ltd",123330,0
제놀루션,GENOLUTION INC.,225220,0
제노텍,GENOTECH CORP.,066830,0
제노코,"Genohco, Inc",361390,0
제노레이,"GENORAY Co., LTD.",122310,0
제넨바이오,GenNBio Inc.,072520,0
제넥신,"Genexine, Inc.",095700,0
제넥셀세인,GENEXEL-SEIN INC.,034660,0
제네시스엔알디,"GENESISNRD CO.,LTD",052640,0
제네시스디벨롭먼트홀딩스,"Tera Resource Co., Ltd.",053320,0
제너시스템즈,"XENERSYSTEMS,INC.",073930,0
제너셈,Genesem Inc.,217190,0
제너비오믹스,"Xana-BiomiX Co., LTD.",017010,0
제낙스,JENAX Inc.,065620,0
정원엔시스,ZUNGWON EN-SYS INC.,045510,0
정상제이엘에스,"JLS CO.,LTD.",040420,0
정다운,"JUNGDAWN Co., Ltd.",208140,0
정다운,"JUNGDAWN Co.,Ltd.",224090,0
전진바이오팜,"JEONJINBIO CO., LTD.",110020,0
전진건설로봇,"JUNJIN CONSTRUCTION & ROBOT CO., LTD.",079900,0
전우정밀,"JEONWOO PRECISION Co.,Ltd.",120780,0
전북은행,THE JEONBUK BANK LTD,006350,0
전방,"CHONBANG CO.,LTD",000950,0
저스템,"Justem.CO.,LTD",417840,0
재영솔루텍,"JAEYOUNG SOLUTEC CO.,LTD.",049630,0
장원테크,"JangWonTech Co., Ltd.",174880,0
잘만테크,"ZalmanTechCo.,Ltd.",090120,0
자화전자,"JAHWA ELECTRONICS CO.,LTD",033240,0
자이에스앤디,Xi S&D Inc.,317400,0
자이언트스텝,GIANTSTEP Inc.,289220,0
자이글,"Zaigle Co., Ltd.",234920,0
자유투어,"Freedom Travel Co., Ltd.",046840,0
자원메디칼,"JAWON MEDICAL CO., LTD.",181980,0
자연과환경,"NatureandEnvironmentCo.,Ltd.",043910,0
자안바이오,"JAANHBIO, INC.",221610,0
자비스,"XAVIS CO., Ltd.",230400,0
자비스,"XAVIS CO., Ltd.",254120,0
자람테크놀로지,"Zaram Technology,Inc.",389020,0
자강,ZAKANG Inc,036790,0
잉크테크,"INKTEC CO., LTD.",049550,0
잉글우드랩,"Englewood Lab, Inc.",950140,0
잇츠한불,"IT'S HANBUL CO., LTD.",226320,0
일화모직공업,"ILHWA WOOL TEXTILE IND CO.,LTD",001590,0
일진홀딩스,"ILJIN HOLDINGS CO.,LTD",015860,0
일진하이솔루스,"ILJIN HYSOLUS Co., Ltd.",271940,0
일진파워,"ILJIN POWER CO., LTD.",094820,0
일진전기,"ILJIN ELECTRIC CO.,LTD",103590,0
일진디스플,"ILJIN DISPLAY CO.,LTD.",020760,0
일진다이아,"ILJIN DIAMOND CO., LTD.",081000,0
일지테크,"ILJI TECHNOLOGY CO.,LTD",019540,0
일정실업,"ILJEONG INDUSTRIAL CO.,LTD",008500,0
일월지엠엘,"ILWOUL GML Co.,Ltd",178780,0
일양약품,"ILYANG PHARMACEUTICAL CO.,LTD",007570,0
일신석재,"ILSHIN STONE CO.,LTD",007110,0
일신방직,"ILSHIN SPINNING CO.,LTD",003200,0
일신바이오,"ilShinbiobase Co., Ltd.",068330,0
일승,"IL SEUNG Co., LTD",333430,0
일성아이에스,"ILSUNG IS CO., LTD.",003120,0
일성건설,"ILSUNG CONSTRUCTION CO.,LTD",013360,0
일레덱스홀딩스,"ELEDEX HOLDINGS CO.,LTD",033550,0
일동홀딩스,"ILDONG HOLDINGS CO.,LTD ",000230,0
일동제약,"IL DONG PHARMACEUTICAL CO., LTD.",249420,0
일공공일안경콘택트,"1001 OPTICAL Co., Ltd",032030,0
인화정공,"Inhwa Precision Co., Ltd.",101930,0
인피니트헬스케어,"INFINITT Healthcare Co., Ltd.",071200,0
인프라웨어테크놀러지,"INFRAWARE TECHNOLOGY, INC",247300,0
인포뱅크,InfoBankCorporation,039290,0
인포바인,"INFOvine co., Ltd.",115310,0
인팩,INFAC CORPORATION,023810,0
인트론바이오,"iNtRON Biotechnology, Inc.",048530,0
인트로메딕,"IntroMedic Co., Ltd.",150840,0
인투셀,"IntoCell, Inc.",287840,0
인텔리안테크,INTELLIAN TECHNOLOGIES Inc.,189300,0
인텍플러스,"INTEKPLUS CO., LTD",064290,0
인터피온반도체,"INTERPION SEM CONDUCTOR CO.,LTD",014010,0
인터플렉스,"INTERFLEX CO., LTD.",051370,0
인터파크,Interpark Corporation,108790,0
인터코스,"Interkos Co.,Ltd",240340,0
인터지스,"INTERGIS CO., LTD",129260,0
인터엠,IntermCorporation,017250,0
인터로조,INTEROJO CO. LTD.,119610,0
인터로이드,"InterRoid Co., Ltd.",311960,0
인탑스,"INTOPS CO., LTD.",049070,0
인크로스,"Incross Co.,Ltd.",216050,0
인크레더블버즈,InkredibleBuzz Inc.,064090,0
인콘,"INCON Co., Ltd.",083640,0
인카금융서비스,"INCAR FINANCIAL SERVICE Co.,Ltd.",211050,0
인천도시가스,INCHON CITY GAS,034590,0
인지컨트롤스,"INZI CONTROLS CO.,LTD",023800,0
인지소프트,"Inzisoft Co., Ltd.",100030,0
인지디스플레,INZI DISPLAY COMPANY LIMITED,037330,0
인젠,"INZEN CO.,LTD",041630,0
인스피언,"Inspien, Inc.",465480,0
인스프리트,"Insprit, Inc.",073130,0
인스코비,"Inscobee, Inc",006490,0
인스웨이브,"Inswave Co., Ltd.",450520,0
인성정보,"INSUNG INFORMATION CO., LTD",033230,0
인선이엔티,INSUN ENVIRONMENTAL NEW TECHNOLOGY CO.,060150,0
인산가,INSAN Inc.,062580,0
인산가,INSAN Inc.,277410,0
인벤티지랩,Inventage Lab Inc.,389470,0
인베니아,"INVENIA Co.,Ltd.",079950,0
인바이츠바이오코아,"INVITES BIOCORE CO., LTD",216400,0
인바이오젠,"INBIOGEN CO.,Ltd",101140,0
인바이오,"ENBIOCO., LTD.",352940,0
인바디,"InBody Co., Ltd.",041830,0
인디에프,In the F,014990,0
인네트,"INNET Co., Ltd",041450,0
이화전기,"EHWA TECHNOLOGIES INFORMATION CO., LTD.",024810,0
이화산업,"RIFA CO., LTD",000760,0
이화공영,EehwaConstruction,001840,0
이퓨쳐,"e-future.Co.,Ltd.",134060,0
이푸른,"Egreen Co., LTD.",185280,0
이트론,"E-TRON CO.,LTD.",096040,0
이크레더블,"e-Credible Co., Ltd.",092130,0
이큐셀,"EQUIPMENTS CELL CO.,LTD",160600,0
이코리아자기관리부동산투자회사,"e-Corea Real Estate Investment Trusts Co., Ltd",138440,0
이지홀딩스,"Easy Holdings Co., Ltd.",035810,0
이지트로닉스,"EGTRONICS Co., Ltd.",377330,0
이지클럽,"EASYCLUB CO., LTD.",038980,0
이지케어텍,"ezCaretech Co., LTD",099750,0
이지스밸류플러스리츠,"IGIS Value Plus REIT Co., Ltd.",334890,0
이지스레지던스리츠,"IGIS RESIDENCE REIT Co., Ltd.",350520,0
이지바이오,"EASY BIO, Inc.",353810,0
이즈미디어,"isMedia Co., Ltd",181340,0
이월드,"E-WORLD CO.,LTD.",084680,0
이원컴포텍,"EWON COMFORTECH CO.,LTD",088290,0
이오플로우,"EOFlow Co., Ltd.",294090,0
이오테크닉스,"EO Technics CO.,LTD",039030,0
이연제약,"REYON PHARMACEUTICAL CO., LTD",102460,0
이엠티,"Energy Material Technology Co., Ltd.",232530,0
이엠텍,"EM-Tech.CO.,LTD.",091120,0
이엠코리아,"EMKOREACo.,LTD.",095190,0
이엠앤아이,"EMnI Co., Ltd.",083470,0
이엠넷,EMNET INC.,123570,0
이엠네트웍스,EM Networks Corporation,087730,0
이엘피,ELP Corp.,063760,0
이엘케이,ELKCorporation,094190,0
이엘씨,"ELC Co., Ltd.",041520,0
이엔플러스,"ENPLUS CO., LTD",074610,0
이엔에프테크놀로지,"ENF Technology Co., Ltd",102710,0
이엔셀,"ENCell Co., Ltd.",456070,0
이에스산업,"ES INDUSTRY CO.,LTD",241510,0
이앤텍,"E & TECH CO.,LTD",047450,0
이앤에치,"E&H Co., Ltd.",341310,0
이아이디,"E Investment&Development CO.,LTD",093230,0
이씨에스,"ECSTELECOMCo.,Ltd.",067010,0
이십일스토어,"21store Co.,Ltd",270020,0
이스트에이드,ESTaid Corp.,239340,0
이스트아시아홀딩스,East Asia Holdings Investment Limited,900110,0
이스트소프트,ESTsoftCorp.,047560,0
이스타코,"e-STARCO. CO.,LTD",015020,0
이수화학,"ISU CHEMICAL CO.,LTD",005950,0
이수페타시스,"ISUPETASYS CO.,LTD",007660,0
이수앱지스,"ISU Abxis Co., Ltd.",086890,0
이수스페셜티케미컬,"ISU SPECIALTY CHEMICAL CO., LTD.",457190,0
이수세라믹,"ISU CERAMICS., LTD",032180,0
이성씨엔아이,"IHSUNGCNI CO.,LTD.",379390,0
이상네트웍스,"eSANGNetworksCo.,Ltd",080010,0
이삭엔지니어링,"ISAAC Engineering Co., Ltd.",351330,0
이비테크,"EB TECH CO.,LTD.",208850,0
이브이파킹서비스,"EVPS Co., Ltd.",419700,0
이브이첨단소재,"EV ADVANCED MATERIAL CO., LTD.",131400,0
이베스트이안기업인수목적1호,Ebest Ian Special Purpose Aquisition 1 Company,323210,0
이베스트스팩6호,Ebest Special Purpose Acquisition No6 Company,478110,0
이베스트기업인수목적5호,Ebest Special Purpose Acquisition No5 Company,349720,0
이베스트기업인수목적3호,EBEST SPECIAL PURPOSE ACQUISITION 3 COMPANY,225440,0
이미지스,"IMAGIS Co., Ltd.",115610,0
이뮨온시아,"ImmuneOncia Therapeutics, Inc.",424870,0
이매진아시아,"IMAGINE ASIA Co.,Ltd.",036260,0
이마트에브리데이,E-MART EVERYDAY Inc.,010090,0
이마트,E-MART Inc.,139480,0
이리츠코크렙,E KOCREF CR-REIT,088260,0
이룸지엔지,"EROOM G&G CO.,LTD.",050640,0
이루온,ELUON Corporation,065440,0
이루다,"ILOODA Co.,Ltd",164060,0
이루넷,"Iroonet,Inc.",041030,0
이롬텍,"EROM Tech Co.,Ltd",045400,0
이렘,"IREM Co.,Ltd.",009730,0
이레전자산업,"E-RAE Electronics Industry Co., Ltd.",045310,0
이레아이엔씨,"Erae I&C co.,Ltd",036900,0
이랜텍,"Elentec Co., Ltd",054210,0
이랜시스,"Elensys Co.,Ltd.",264850,0
이디디컴퍼니,"EDD COMPANY CO., LTD",052650,0
이닉스,INICS Corporation,452400,0
이니텍,"INITECH Co., Ltd.",053350,0
이녹스첨단소재,"INNOX Advanced Materials Co., Ltd.",272290,0
이녹스,INNOXCorporation,088390,0
이노진,"INNOGENE Co., Ltd.",344860,0
이노인스트루먼트,INNO INSTRUMENT INC.,215790,0
이노와이어리스,"InnoWirelessCo.,Ltd.",073490,0
이노시뮬레이션,"INNOSIMULATION CO., LTD.",274400,0
이노스페이스,"INNOSPACE Co., Ltd.",462350,0
이노션,INNOCEAN WORLDWIDE INC.,214320,0
이노블루,"InnoBlue Co.,Ltd.",066200,0
이노벡스,INNOVEX Company Limited ,279060,0
이노메트리,"INNOMETRY Co., Ltd.",302430,0
이노룰스,"INNORULES CO.,LTD",296640,0
이노뎁,INNODEP INC.,303530,0
이글벳,"Eagle Veterinary Technology Co.,Ltd",044960,0
이글루,IGLOO Corporation,067920,0
이구산업,"LEEKU INDUSTRIAL CO.,LTD",025820,0
이건홀딩스,"EAGON HOLDINGS CO., LTD.",039020,0
이건산업,EAGON INDUSTRIAL LTD,008250,0
으뜸상호저축은행,EUTTEUM MUTUAL SAVINGS BANK,032150,0
율호,"Yulho Co., LTD.",072770,0
율촌화학,"YOULCHON CHEMICAL CO.,LTD",008730,0
율촌,"YulChon co., Ltd",146060,0
윤성에프앤씨,"YUNSUNG F&C Co.,Ltd",372170,0
육일씨엔에쓰,"RYUK-IL C&S., Ltd.",191410,0
유화증권,"YUHWA SECURITIES CO.,LTD",003460,0
유한양행,YUHAN CORPORATION,000100,0
유퍼트,"UPERT, INC.",060670,0
유틸렉스,"Eutilex Co.,Ltd.",263050,0
유티엑스,"UTX CO.,LTD.",045880,0
유티아이,UTI INC.,179900,0
유투바이오,"U2BIO CO., LTD.",221800,0
유진테크놀로지,"YUJIN TECHNOLOGY CO.,LTD.",240600,0
유진테크,"EugeneTechnologyCo.,Ltd.",084370,0
유진증권,"EUGENE INVESTMENT & SECURITIES CO., LTD",001200,0
유진종합개발,YujinDevelopment&Construction,023420,0
유진스팩9호,"EUGENE SPECIAL PURPOSE ACQUISITION 9 COMPANY Co., Ltd.",442130,0
유진스팩11호,EUGENE SPECIAL PURPOSE ACQUISITION 11 COMPANY,488060,0
유진스팩10호,EUGENE SPECIAL PURPOSE ACQUISITION 10 COMPANY,468760,0
유진로봇,"Yujin Robot Co., Ltd.",056080,0
유진기업인수목적7호,EUGENE SPECIAL PURPOSE ACQUISITION 7 COMPANY,388800,0
유진기업인수목적6호,"EUGENE SPECIAL PURPOSE ACQUISITION 6 COMPANY Co., Ltd.",373340,0
유진기업인수목적3호,"EUGENE SPECIAL PURPOSE ACQUISITION 3 CO., LTD.",221200,0
유진기업,EUGENE Corporation,023410,0
유일엔시스,YOUILENSYS Corporation,038720,0
유일에너테크,"YOUIL ENERGY TECH  CO.,LTD.",340930,0
유일로보틱스,"Yuilrobotics.  co., Ltd",388720,0
유유제약,"Yuyu Pharma, Inc.",000220,0
유엔젤,UANGEL CORPORATION,072130,0
유엑스엔,"UXN Co., Ltd.",337840,0
유에이블,"UABLE CO.,LTD.",071530,0
유에스티,"UST CO., LTD.",263770,0
유안타증권,"Yuanta Securities Korea Co., Ltd.",003470,0
유안타제9호기업인수목적,Yuanta 9 SPECIAL PURPOSE ACQUISITION COMPANY,430700,0
유안타제8호기업인수목적,Yuanta 8 SPECIAL PURPOSE ACQUISITION COMPANY,367480,0
유안타제7호기업인수목적,Yuanta 7 SPECIAL PURPOSE ACQUISITION COMPANY,367460,0
유안타제4호기업인수목적,"Yuanta 4 SPECIAL PURPOSE ACQUISITION Co., LTD.",313750,0
유안타제2호기업인수목적,"Yuanta 2 SPECIAL PURPOSE ACQUISITION CO.,LTD.",219960,0
유안타제17호스팩,Yuanta 17 SPECIAL PURPOSE ACQUISITION COMPANY,493790,0
유안타제16호스팩,Yuanta 16 SPECIAL PURPOSE ACQUISITION COMPANY,474490,0
유안타제15호스팩,Yuanta 15 SPECIAL PURPOSE ACQUISITION COMPANY,473050,0
